gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group
0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,951,1239,0
0,0,1,1,0,0,0,2,2,2,0,1,1,0,0,1,534,3168,1
0,1,1,0,1,2,1,0,1,2,0,2,2,1,1,1,1397,6190,5
0,0,1,0,1,2,1,2,2,0,2,2,2,1,0,2,1441,5658,4
0,0,1,1,1,2,0,2,2,2,0,0,0,2,0,2,614,3274,2
1,0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,100,683,0
0,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,91,2900,4
0,0,1,0,1,0,2,1,1,1,1,1,1,1,0,0,38,2308,4
1,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,13,7,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,309,150,0
0,0,0,0,1,2,0,2,0,2,0,0,0,1,0,3,523,3370,2
0,1,0,0,1,2,1,0,2,2,0,2,0,0,1,0,1196,5923,5
0,0,1,0,0,1,0,2,2,2,2,0,0,2,1,0,337,4570,5
0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2,895,2036,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,735,315,0
1,0,1,1,1,0,1,2,2,2,2,2,2,2,0,1,1455,6402,5
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,286,1571,0
0,0,0,0,0,1,0,2,0,2,2,2,2,2,0,1,541,4849,5
1,0,1,1,1,2,0,2,2,2,0,2,2,2,0,1,964,5572,5
0,0,1,0,1,2,2,1,1,1,1,1,1,2,0,0,87,3566,5
0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,3,46,323,0
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,34,594,0
0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,165,1358,1
1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,1,25,1513,2
0,0,0,0,1,0,1,1,0,0,0,2,2,0,1,2,1172,3191,1
1,0,0,0,0,1,0,2,2,2,0,0,0,1,0,3,235,1327,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,745,321,0
0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,158,1366,1
1,0,0,0,1,0,1,0,2,0,1,2,2,0,0,0,1279,3632,1
