gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group
0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,142,74,0,0
1,0,0,0,1,0,0,2,0,2,0,0,0,1,0,3,497,3624,0,2
1,0,0,0,1,0,0,2,2,0,0,0,0,0,1,3,435,536,1,0
1,0,0,0,0,1,0,2,0,2,2,0,0,1,0,0,266,3570,0,3
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,728,674,1,0
0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,1273,2173,1,0
1,0,0,1,1,2,1,0,2,0,0,2,0,0,1,1,1074,3673,0,1
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,140,1145,0,0
0,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,1370,4384,1,2
1,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,481,4631,0,5
1,0,1,1,1,0,0,2,0,0,0,0,0,0,1,3,375,1775,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,8,1213,0,1
1,0,1,0,1,2,1,0,0,2,0,2,2,1,0,1,1287,5688,0,4
1,0,0,0,1,2,1,0,2,2,0,2,2,0,1,0,1348,5421,1,4
1,0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,1384,4178,0,2
0,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,1518,6429,0,5
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,42,2496,0,4
1,0,0,1,1,2,1,2,0,2,0,2,2,2,0,0,1408,6309,0,5
0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,1,462,1660,1,0
0,0,0,0,1,0,1,0,2,2,0,0,2,0,1,2,1093,3596,0,1
1,1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,237,112,1,0
1,0,1,0,1,0,2,1,1,1,1,1,1,1,0,0,25,852,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,32,25,1,0
0,0,1,0,1,2,0,0,2,0,2,0,0,2,1,1,540,4636,0,4
1,0,1,1,1,0,0,2,2,0,2,0,0,0,0,1,534,4330,0,4
0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,464,3244,0,2
1,0,1,1,1,2,1,0,2,0,0,2,2,0,1,2,1267,5267,1,3
